Pfam	Domain	Description
PF07863	CtnDOT_TraJ	Homologues of TraJ from Bacteroides conjugative transposon
PF05380	Peptidase_A17	Pao retrotransposon peptidase
PF13022	HTH_Tnp_1_2	Helix-turn-helix of insertion element transposase
PF13006	Nterm_IS4	Insertion element 4 transposase N-terminal
PF02914	DDE_2	Bacteriophage Mu transposase
PF03400	DDE_Tnp_IS1	IS1 transposase
PF04693	DDE_Tnp_2	Archaeal putative transposase ISC1217
PF09077	Phage-MuB_C	Mu B transposition protein, C terminal
PF12784	PDDEXK_2	PD-(D/E)XK nuclease family transposase
PF14529	Exo_endo_phos_2	Endonuclease-reverse transcriptase
PF10536	PMD	Plant mobile domain
PF13610	DDE_Tnp_IS240	DDE domain
PF03184	DDE_1	DDE superfamily endonuclease
PF13358	DDE_3	DDE superfamily endonuclease
PF13359	DDE_Tnp_4	DDE superfamily endonuclease
PF13546	DDE_5	DDE superfamily endonuclease
PF13808	DDE_Tnp_1_assoc	DDE_Tnp_1-associated
PF13842	Tnp_zf-ribbon_2	DDE_Tnp_1-like zinc-ribbon
PF03078	ATHILA	ATHILA ORF-1 family
PF14214	Helitron_like_N	Helitron helicase-like domain at N-terminus
PF13613	HTH_Tnp_4	Helix-turn-helix of DDE superfamily endonuclease
PF03716	WCCH	WCCH motif
PF08721	Tn7_Tnp_TnsA_C	TnsA endonuclease C terminal
PF08722	Tn7_Tnp_TnsA_N	TnsA endonuclease N terminal
PF00077	RVP	Retroviral aspartyl protease
PF08284	RVP_2	Retroviral aspartyl protease
PF09357	RteC	RteC protein
PF12648	TcpE	TcpE family
PF00075	RnaseH	RNase H     
PF00098	zf-CCHC	Zinc knuckle     
PF00424	REV	REV protein (anti-repression trans-activator protein)  
PF00429	TLV_coat	ENV polyprotein (coat polyprotein)   
PF00469	F-protein	Negative factor, (F-Protein) or Nef  
PF00516	GP120	Envelope glycoprotein GP120    
PF00517	GP41	Envelope Polyprotein GP41    
PF00522	VPR	VPR/VPX protein     
PF00539	Tat	Transactivating regulatory protein (Tat)   
PF00540	Gag_p17	gag gene protein p17 (matrix protein) 
PF00552	Integrase	Integrase DNA binding domain   
PF00558	Vpu	Vpu protein     
PF00559	Vif	Retroviral Vif (Viral infectivity) protein  
PF00589	Phge_integrase	Phage integrase family    
PF00607	Gag_p24	gag gene protein p24 (core nucleocapsid protein)
PF00665	rve	Integrase core domain    
PF00692	dUTPase	dUTPase      
PF00906	Hepatitis_core	Hepatitis core antigen    
PF00971	EIAV_GP90	EIAV coat protein, gp90   
PF00979	Reovirus_cap	Reovirus outer capsid protein, Sigma 3 
PF01045	EIAV_GP45	EIAV glycoprotein, gp45    
PF01054	MMTV_SAg	Mouse mammary tumour virus superantigen  
PF01140	Gag_MA	Matrix protein (MA), p15   
PF01141	Gag_p12	Gag polyprotein, inner coat protein p12 
PF01695	IstB	IstB-like ATP binding protein   
PF02022	Integrase_Zn	Integrase Zinc binding domain   
PF02093	Gag_p30	Gag P30 core shell protein  
PF02228	Gag_p19	Major core protein p19   
PF02316	Mu_DNA_bind	Mu DNA-binding domain    
PF02337	Gag_p10	Retroviral GAG p10 protein   
PF02411	MerT	MerT mercuric transport protein   
PF02720	DUF222	Domain of unknown function DUF222  
PF02813	Retro_M	Retroviral M domain    
PF02892	zf-BED	BED zinc finger    
PF02920	Integrase_DNA	DNA binding domain of tn916 integrase 
PF02959	Tax	HTLV Tax     
PF02998	Lentiviral_Tat	Lentiviral Tat protein    
PF03056	GP36	Env gp36 protein (HERV/MMTV type)  
PF03274	Foamy_BEL	Foamy virus BEL 42371 protein  
PF03276	Gag_spuma	Spumavirus gag protein    
PF03408	Foamy_virus_ENV	Foamy virus envelope protein   
PF03539	Spuma_A9PTase	Spumavirus aspartic protease (A9)   
PF03708	Avian_gp85	Avian retrovirus envelope protein, gp85  
PF03811	Ins_element1	Insertion element protein    
PF04094	DUF390	Protein of unknown function (DUF390)  
PF04160	Borrelia_orfX	Orf-X protein     
PF04218	CENP-B_N	CENP-B N-terminal DNA-binding domain   
PF04582	Reo_sigmaC	Reovirus sigma C capsid protein  
PF04740	Transposase_30	Bacillus transposase protein    
PF04937	DUF659	Protein of unknown function (DUF 659) 
PF05052	MerE	MerE protein     
PF05344	DUF746	Domain of Unknown Function (DUF746)  
PF05399	EVI2A	Ectropic viral integration site 2A protein (EVI2A)
PF05457	Transposase_33	Sulfolobus transposase     
PF05485	THAP	THAP domain     
PF05599	Deltaretro_Tax	Deltaretrovirus Tax protein    
PF05621	TniB	Bacterial TniB protein    
PF05699	hATC	hAT family dimerisation domain   
PF05717	Transposase_34	IS66 Orf2 like protein   
PF05754	DUF834	Domain of unknown function (DUF834)  
PF05840	Phage_GPA	Bacteriophage replication gene A protein (GPA) 
PF05851	Lentivirus_VIF	Lentivirus virion infectivity factor (VIF)  
PF05858	BIV_Env	Bovine immunodeficiency virus surface envelope protein (ENV)
PF05928	Zea_mays_MuDR	Zea mays MURB-like protein (MuDR)  
PF06527	TniQ	TniQ      
PF06815	RVT_connect	Reverse transcriptase connection domain   
PF06817	RVT_thumb	Reverse transcriptase thumb domain   
PF07253	Gypsy	Gypsy protein     
PF07567	zf-C2HC_plant	Protein of unknown function, DUF1544  
PF07572	BCNT	Bucentaur or craniofacial development   
PF08333	DUF1725	Protein of unknown function (DUF1725)  
PF08483	IstB_N	IstB-like ATP binding N-terminal   
PF08705	Gag_p6	Gag protein p6    
PF08723	Gag_p15	Gag protein p15    
PF09039	Mu_I-gamma	Mu DNA binding, I gamma subdomain 
PF09293	RNaseH_C	T4 RNase H, C terminal  
PF09322	DUF1979	Domain of unknown function (DUF1979)  
PF14227	UBN2_2	UBN2_2      
PF13975	gag-asp_proteas	gag-asp_proteas      
PF13976	gag_pre-integrs	gag_pre-integrs      
